import time: self [us] | cumulative | imported package
import time:      2215 |       3437 |             pydantic.color
import time:      1893 |       5330 |           fastapi.encoders
import time:      1013 |       1013 |             starlette._exception_handler
import time:      1626 |       1626 |             starlette.convertors
import time:      1545 |       1545 |             starlette.middleware
import time:      2151 |       6333 |           starlette.routing
import time:      5650 |     282135 |         fastapi.routing
import time:      1099 |       1099 |           fastapi.websockets
import time:      1164 |       2262 |         fastapi.exception_handlers
import time:      1110 |       1110 |           fastapi.middleware
import time:      1657 |       2767 |         fastapi.middleware.asyncexitstack
import time:      2114 |       2114 |         fastapi.openapi.docs
import time:      1738 |       1738 |               email.feedparser
import time:      1399 |       3137 |             email.parser
import time:      2262 |       5398 |           http.client
import time:       496 |        496 |             ujson
import time:      1232 |       1232 |               orjson.orjson
import time:      1213 |       2445 |             orjson
import time:      1033 |       3974 |           fastapi.responses
import time:      2898 |      12270 |         fastapi.openapi.utils
import time:      1463 |       1463 |           starlette.middleware.base
import time:      3402 |       3402 |               html.entities
import time:      1924 |       5326 |             html
import time:      1013 |       6338 |           starlette.middleware.errors
import time:      1466 |       1466 |           starlette.middleware.exceptions
import time:      1368 |      10634 |         starlette.applications
import time:      4861 |     319983 |       fastapi.applications
import time:      1116 |       1116 |       fastapi.requests
import time:      1559 |     326057 |     fastapi
import time:       976 |        976 |       starlette.middleware.cors
import time:       974 |       1950 |     fastapi.middleware.cors
import time:      1870 |       1870 |       starlette.staticfiles
import time:      1189 |       3058 |     fastapi.staticfiles
import time:      1061 |       1061 |     routers
import time:      7865 |       7865 |       core.protocol
import time:      2953 |       2953 |           core.events.bus
import time:      1290 |       4243 |         core.events
import time:        63 |       4306 |       core.events.bus
import time:      1633 |      13803 |     routers.gateway
import time:      1198 |       1198 |             dependency_injector
import time:      1155 |       1155 |                 pydantic_settings.exceptions
import time:      2714 |       2714 |                   argparse
import time:       999 |        999 |                     pydantic._internal._dataclasses
import time:      1228 |       2227 |                   pydantic.dataclasses
import time:       879 |        879 |                       pydantic_settings.utils
